English,Türkçe,Check
you're,Sen,true
get,vermek,false
here,burada,true
out,dışarı,true
going,gidiyor,true
like,beğenmek,true
yeah,Evet,true
if,eğer,true
her,o,true
she,ben,false
can,Yapabilmek,true
up,yukarı,true
want,istek,true
think,düşünmek,true
that's,Selam,false
now,şimdi,true
go,Git,true
him,o,true
at,-den,true
how,nasıl,true
got,isabet,false
there,orada,true
one,bir,true
did,yaptı,true
why,Niye,true
see,görmek,true
come,gelmek,true
good,iyi,true
they,onlar,true
really,Gerçekten,true
as,olarak,true
would,istemek,true
look,bakmak,true
when,ne zaman,true
time,zaman,true
will,niyet,true